N°;Prefijo Departamento;Departamento;Provincia;Localidad;Proyecto;Nombre de ODN/ODN Name;Nombre_de_OLT/OLT_Name;OUTDOOR/INDOOR;MODELO DE OLT;NAP (Qty);Usuarios Proyectados;Urb/Rur;OLT Location;RPM;Nombre de OLT (en  el prompt de OLT);Latitud OLT (Grados decimales (DD)) Ej: 41.40338;Longitud OLT (Grados decimales (DD)) Ej: 2.17403.;Status;OLT Upgrade;Fecha ATP ODN/ATP ODN Date;Fecha de Comisionamiento OLT/OLT Commissioning Date;Fecha ATP Instalación Gabinete/ATP Installation Cabinet Date;Fecha ATP OLT de Servicios/Services ATP OLT Date;Fecha ATP OTDR/ATP OTDR Date;Fecha ATP Energía/Date ATP Energy;Sitio de interconexión a OSN (capa 2);Equipo de agregación (Carrier Entel) - A;PUERTO AGREGADOR - A;Equipo de agregación (Carrier Entel) - B;PUERTO AGREGADOR - B;Equipo de agregación (Carrier Entel) - Name Location (Nombre de localidad/sitio);Latitud Agregador (Grados decimales (DD)) Ej: 41.40338;Longitud Agregador (Grados decimales (DD)) Ej: 2.17403.;FECHA DE HABILITACION - NUEVO NETNUMEN;"SEGMENTO
IP OLT GESTIÓN";GATEWAY GESTIÓN;IP OLT GESTIÓN;VLAN TR069;SEGMENTO IP POOL EASY GATEWAY TR069;VLAN DE GESTIÓN;VLANs OUTER PPPoE;VLANs OUTER PPPoE(SECOND);VLANs OUTER VPN & IPoE ;VLAN OUTER TELEFONIA;IP SEGMENTO DE RED TELEFONIA/VOICE SEGMENT;VLAN OUTER IPTV;IP SEGMENTO DE RED IPTV/IPTV SEGMENT;SEGMENTO IP OTDR;GATEWAY IP OTDR;IP OTDR;VLAN OTDR;SEGMENTO IP Modulo de Energia (ETMC);GATEWAY IP Modulo de Energia (ETMC);IP Modulo de Energia (ETMC);VLAN MODULO DE ENERGÍA (ETMC)
11;CBB;COCHABAMBA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;1° de Mayo;1RO_DE_MAYO;OUTDOOR;ZTE - C600;133;2128;Urban;Public;RONALD AGUILAR;OLT_1RO_DE_MAYO_CBB;-17.45158;-66.20143;;;;;;;;;;CISCO ASR9010;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;PUCARA;-17.45769;-66.15449;;10.129.191.128/28;10,129,191,129;10.129.191.132/28;4008;REGIONAL;939;1250;;1340;3953;10.247.58.0/23;4085;10.119.192.0/22;10.36.29.0/28;10.36.29.1/28;10.36.29.4;940;10.129.5.0/28;10.129.5.1/28;10.129.5.4;941
12;CBB;COCHABAMBA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Paraiso Avisea;PARAISO_AVISEA;OUTDOOR;ZTE - C600;116;1856;Urban;RBS Entel;RONALD AGUILAR;OLT_PARAISO_AVISEA_CBB;-17.41446;-66.07847;;;;;;;;;;CISCO ASR9010;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;PUNTITI;-17.38298;-66.09871;;10.201.130.64/27;10.201.130.65;10.201.130.72/27;4008;REGIONAL;939;1251;;1341;3954;10.247.60.0/23;4086;10.119.196.0/22;10.36.29.16/28;10.36.29.17/28;10.36.29.20;940;10.129.5.16/28;10.129.5.17/28;10.129.5.20;941
13;CBB;COCHABAMBA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;El Abra;EL_ABRA;OUTDOOR;ZTE - C600;120;1920;Urban;Public;RONALD AGUILAR;OLT_EL_ABRA_CBB;-17.41334;-66.09446;;;;;;;;;;CISCO ASR9010;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;PUNTITI;-17.38298;-66.09871;;10.201.130.64/27;10.201.130.65;10.201.130.71/27;4008;REGIONAL;939;1252;;1342;3955;10.247.62.0/23;4087;10.119.216.0/22;10.36.29.16/28;10.36.29.17/28;10.36.29.21;940;10.129.5.16/28;10.129.5.17/28;10.129.5.21;941
14;CBB;COCHABAMBA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Vinto Chico;VINTO_CHICO;OUTDOOR;ZTE - C650;60;960;Urban;RBS Entel;RONALD AGUILAR;OLT_VINTO_CHICO_CBB;-17.40403;-66.33085;;;;;;;;;;CISCO ASR9010;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;VINTO;-17.40496;-66.33083;;10.201.133.224/28;10.201.133.225;10.201.133.229/28;4008;REGIONAL;939;1253;;1343;3956;10.247.64.0/23;4088;10.119.226.0/23;10.36.29.32/28;10.36.29.33/28;10.36.29.36;940;10.129.5.32/28;10.129.5.33/28;10.129.5.36;941
15;CBB;COCHABAMBA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Capinota e Irpa Irpa;CAPINOTA;OUTDOOR;ZTE - C650;64;1024;Rural;RBS Entel;RONALD AGUILAR;OLT_CAPINOTA_CBB;-17.70649;-66.26599;;;;;;;;;;CISCO ASR9010;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;SANTIBAÑEZ;-17.55571;-66.25135;;10.201.129.225/29;10,201,129,225;10.201.129.245/29;4008;REGIONAL;939;1254;;1344;3957;10.247.66.0/23;4089;10.119.228.0/23;10.36.29.113/28;10.36.29.113/28;10.36.29.117;940;10.129.5.113/28;10.129.5.113/28;10.129.5.117;941
16;CBB;COCHABAMBA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;El Paso;EL_PASO;OUTDOOR;ZTE - C650;60;960;Rural;RBS Entel;RONALD AGUILAR;OLT_EL_PASO_CBB;-17.33601;-66.26806;;;;;;;;;;CISCO ASR9010;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;TIQUIPAYA;-17.34306;-66.21738;13/4/2023;10.201.130.160/27;10.201.130.161;10.201.130.165/27;4008;REGIONAL;939;1255;;1345;3958;10.247.68.0/23;4090;10.119.230.0/23;10.36.29.64/28;10.36.29.65/28;10.36.29.68;940;10.129.5.64/28;10.129.5.65/28;10.129.5.68;941
17;CBB;COCHABAMBA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Marquina;MARQUINA;OUTDOOR;ZTE - C600;107;1712;Rural;RBS Entel;RONALD AGUILAR;OLT_MARQUINA_CBB;-17.34549;-66.28618;;;;;;;;;;CISCO ASR9010;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;BARRIO MINERO;-17.38709;-66.26008;13/4/2023;10.201.130.160/27;10.201.130.161;10.201.130.166/27   ;4008;REGIONAL;939;1256;;1346;3959;10.247.70.0/23;4091;10.119.220.0/22;10.36.29.64/28;10.36.29.65/28;10.36.29.69;940;10.129.5.64/28;10.129.5.65/28;10.129.5.69;941
18;CBB;COCHABAMBA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Eterazama;ETERAZAMA;OUTDOOR;ZTE - C650;83;1328;Rural;Public;RONALD AGUILAR;OLT_ETERAZAMA_CBB;-16.83297;-65.52051;;;;;;;;;;CISCO ASR9901;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;VILLA TUNARI;-16.97426;-65.42581;;10.194.8.160/27;10.194.8.161;10.194.8.165/27;4008;REGIONAL;939;1257;;1347;3960;10.247.72.0/23;4092;10.119.232.0/23;10.36.29.96/28;10.36.29.97/28;10.36.29.100;940;10.129.5.96/28;10.129.5.97/28;10.129.5.100;941
19;CBB;COCHABAMBA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Valle Sacta;VALLE_SACTA;OUTDOOR;ZTE - C650;37;592;Rural;Public;RONALD AGUILAR;OLT_VALLE_SACTA_CBB;-17.11837;-64.77126;;;;;;;;;;CISCO ASR9901;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;VILLA TUNARI/BULO BULO;-17.25376;-64.36341;;10.194.10.96/28;10.194.10.97;10.194.10.100/28;4008;REGIONAL;939;1258;;1348;3961;10.247.74.0/23;4093;10.119.234.0/23;10.129.177.16/28;10.129.177.17/28;10.129.177.20;940;10.129.181.16/28;10.129.181.17/28;10.129.181.20;941
20;LPZ;LA PAZ;Pedro Domingo Murillo;SAN_ROQUE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;San Roque;SAN_ROQUE;OUTDOOR;ZTE - C600;180;2528;Urban;RBS Entel;LUIS ROJAS;OLT_SAN_ROQUE_LPZ;-16.49287;-68.2588;;;;;;;;;;CE - Yunguyo Ela;Te0/3/0/4;CE - Yunguyo Ela;REGIONAL/ZTE;Yunguyo Ela;-16.49984;-68.23264;5/4/2023;10.249.103.144/28;10.249.103.145/28;10249103148;4008;REGIONAL;939;4040;;4042;2232;10.253.94.0/23;2296;10.114.48.0/22;10.36.28.0/28;10.36.28.1/28;10.36.28.4;1020;10.36.31.0/28;10.36.31.1/28;10.36.31.4;1220
21;LPZ;LA PAZ;Pedro Domingo Murillo;TILATA;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Tilata;TILATA;OUTDOOR;ZTE - C600;180;2624;Urban;Public;LUIS ROJAS;OLT_TILATA_LPZ;-16.57229;-68.23875;;;;;;;;;;CE - Estadio Andino;Te0/0/2/1;CE - Estadio Andino;REGIONAL/ZTE;Estadio Andino;-16.54244;-68.22637;5/4/2023;10.249.103.160/28;10.249.103.161/28;10249103164;4008;REGIONAL;939;4040;;4042;2232;10.253.96.0/23;2296;10.114.52.0/22;10.36.28.16/28;10.36.28.17/28;10.36.28.20;1020;10.36.31.16/28;10.36.31.17/28;10.36.31.20;1220
22;LPZ;LA PAZ;Pedro Domingo Murillo;ROSASANI;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Rosasani;ROSASANI;OUTDOOR;ZTE - C600;120;1920;Urban;Public;GABRIEL CHAVEZ;OLT_ROSASANI_LPZ;-16.4748;-68.47666;;;;;;;;;;CE - Miraflores;Te0/4/0/8;CE - Miraflores;REGIONAL/ZTE;Miraflores;-16.48134;-68.12216;5/4/2023;10.201.128.128/27;10.201.128.129/27;10.201.128.133;4008;REGIONAL;939;4040;;4042;2232;10.253.98.0/23;2286;10.114.56.0/22;10.36.28.32/28;10.36.28.33/28;10.36.28.36;1020;10.36.31.32/28;10.36.31.33/28;10.36.31.36;1220
23;LPZ;LA PAZ;Pedro Domingo Murillo;LOS_ANGELES;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Los Angeles;LOS_ANGELES;OUTDOOR;ZTE - C600;120;1920;Urban;RBS Entel;LUIS ROJAS;OLT_LOS_ANGELES_LPZ;-16.6275;-68.18816;;;;;;;;;;CE - Ventilla;Te0/4/0/10;CE - Ventilla;REGIONAL/ZTE;Ventilla;-16.58538;-68.18799;5/4/2023;10.249.103.128/28;10.249.103.129/28;10,249,103,132;4008;REGIONAL;939;4040;;4042;2232;10.253.100.0/23;2296;10.114.60.0/22;10.36.28.48/28;10.36.28.49/28;10.36.28.52;1020;10.36.31.48/28;10.36.31.49/28;10.36.31.52;1220
24;LPZ;LA PAZ;Pedro Domingo Murillo;SAMO;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Samo;SAMO;OUTDOOR;ZTE - C600;120;1920;Urban;Public;LUIS ROJAS;OLT_SAMO_LPZ;-16.60965;-68.17488;;;;;;;;;;CE - Ventilla;Te0/4/0/11;CE - Ventilla;REGIONAL/ZTE;Ventilla;-16.58538;-68.18799;5/4/2023;10.249.103.128/28;10.249.103.129/28;10249103133;4008;REGIONAL;939;4043;;4044;2233;10.253.102.0/23;2297;10.114.64.0/22;10.36.28.48/28;10.36.28.49/28;10.36.28.53;1020;10.36.31.48/28;10.36.31.49/28;10.36.31.53;1220
25;LPZ;LA PAZ;Sud Yungas;LA ASUNTA;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;La Asunta;LA_ASUNTA;OUTDOOR;ZTE - C650;60;688;Rural;RBS Entel;LUIS ROJAS;OLT_LA_ASUNTA_LPZ;-16.12447;-67.194;;;;;;;;;;CE - Caranavi;Te0/0/0/18;CE - Caranavi;REGIONAL/ZTE;Caranavi;-15.83367;-67.56664;17/3/2023;10.194.9.160/27;10.194.9.161/27;10.194.9.166;4008;REGIONAL;939;1221;;1128;1133;10.253.104.0/23;2102;10.114.72.0/23;10.36.28.64/28;10.36.28.65/28;10.36.28.68;1020;10.36.31.64/28;10.36.31.65/28;10.36.31.68;1215
26;LPZ;LA PAZ;Nor Yungas;COROICO;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Coroico;COROICO;INDOOR;ZTE - C650;60;608;Rural;RBS Entel;GABRIEL CHAVEZ;OLT_COROICO_LPZ;-16.19363;-67.72237;;1;;7-feb.-2023;;8-feb.-2023;;;;CE - Caranavi;Te0/0/0/17;CE - Caranavi;NA;Caranavi;-15.83367;-67.56664;17/3/2023;10.194.9.160/27;10.194.9.161/27;10.194.9.165;4008;REGIONAL;939;1220;;1129;1132;10.253.105.0/23;2101;10.114.74.0/23;10.36.28.64/28;10.36.28.65/28;10.36.28.69;1020;10.36.31.64/28;10.36.31.65/28;10.36.31.69;1215
27;LPZ;LA PAZ;Pedro Domingo Murillo;PALCA;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Palca;PALCA;OUTDOOR;ZTE - C650;60;224;Rural;RBS Entel;GABRIEL CHAVEZ;OLT_PALCA_LPZ;-16.55549;-67.96334;;;;;;;;;;CE - Central 03;Te0/0/0/2/5;CE - Central 03;REGIONAL/ZTE;Ayacucho;-16.49786;-68.13479;5/4/2023;10.57.92.96/28;10.57.92.97/28;10.57.92.101;4008;REGIONAL;939;4055;;4056;2235;10.253.106.0/23;2280;10.114.76.0/23;10.36.28.80/28;10.36.28.81/28;10.36.28.84;1020;10.36.31.80/28;10.36.31.81/28;10.36.31.84;1220
28;LPZ;LA PAZ;Pedro Domingo Murillo;MECAPACA;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Mecapaca;MECAPACA;OUTDOOR;ZTE - C650;120;1008;Rural;RBS Entel;LUIS ROJAS;OLT_MECAPACA_LPZ;-16.67192;-68.03407;;;;;;;;;;CE - Central 03;Te0/0/0/2/6;CE - Central 03;REGIONAL/ZTE;Ayacucho;-16.49786;-68.13479;5/4/2023;10.57.92.96/28;10.57.92.97/28;10.57.92.102;4008;REGIONAL;939;4057;;4058;2236;10.253.107.0/23;2281;10.114.78.0/23;10.36.28.80/28;10.36.28.81/28;10.36.28.85;1020;10.36.31.80/28;10.36.31.81/28;10.36.31.85;1220
29;ORU;ORURO;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Dios es amor;ALMACENES_ADUANA;OUTDOOR;ZTE - C600;180;2880;Urban;RBS Entel;GABRIEL CHAVEZ;OLT_ALMACENES_ADUANA_ORU;-17.99234;-67.12037;;;;;;;;;;No definido;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;CENTRAL ORURO;-17.98777;-67.09615;;10.201.132.240/28;10,201,132,225;10,201,132,244;4008;REGIONAL;939;1301;;1302;1226;10.254.150.0/23;1405;10.114.152.0/22;10.36.30.192/28;10.36.30.193/28;10.36.30.196;940;10.129.6.192/28;10.129.6.193/28;10.129.6.196;941
30;ORU;ORURO;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Santa Barbara;SANTA_BARBARA;OUTDOOR;ZTE - C600;120;960;Urban;RBS Entel;GABRIEL CHAVEZ;OLT_SANTA_BARBARA_ORU;-17.97784;-67.11599;;;;;;;;;;No definido;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;CENTRAL ORURO;-17.97784;-67.11599;;10.201.132.240/28;10,201,132,225;10.201.132.245;4008;REGIONAL;939;1305;;1306;1228;10.254.152.0/23;1407;10.114.156.0/22;10.36.30.192/28;10.36.30.193/28;10.36.30.197;940;10.129.6.192/28;10.129.6.193/28;10.129.6.197;941
31;ORU;ORURO;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;San Isidro;SAN_FRANCISCO;OUTDOOR;ZTE - C600;120;1920;Urban;RBS Entel;GABRIEL CHAVEZ;OLT_SAN_FRANCISCO_ORU;-17.98263;-67.07312;;;;;;;;;;No definido;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;CENTRAL ORURO;-17.98777;-67.09615;;10.201.132.224/27;10,201,132,225;10,201,132,246;4008;REGIONAL;939;1303;;1304;1226;10.254.154.0/23;1406;10.114.160.0/22;10.36.30.192/28;10.36.30.193/28;10.36.30.198;940;10.129.6.192/28;10.129.6.193/28;10.129.6.198;941
32;PND;PANDO;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Puerto Rico;PUERTO_RICO;OUTDOOR;ZTE - C650;30;480;Rural;RBS Entel;FERNANDO RIVERO;OLT_PUERTO_RICO_PND;-11.10917;-67.54778;;;;;;;;;;No definido;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;CENTRAL COBIJA;-11.10917;-67.54778;;10.243.6.128/25;10.243.6.129/25;10.243.6.135;4008;REGIONAL;939;4064;;4066;4063;10.254.252.0/23;4062;10.248.13.0/24;10.36.30.32/28;10.36.30.33/28;10.36.30.36;950;10.129.6.32/28;10.129.6.33/28;10.129.6.36;951
